OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
134704909,1,Eads St & 15th St S,31000,38.858971,-77.05323,YES,NO,,,NO,10,4,395379.96861159,132352.11690319,
134704910,2,18th & Eads St.,31001,38.85725,-77.05332,YES,NO,,,NO,4,7,395372.04558977,132161.07808121,
134704911,3,20th & Crystal Dr,31002,38.856425,-77.049232,YES,NO,,,NO,8,9,395726.81757513,132069.29786306,
134704912,4,15th & Crystal Dr,31003,38.86017,-77.049593,YES,NO,,,NO,2,9,395695.7097594,132485.03678691,
134704913,5,Aurora Hills Community Ctr/18th & Hayes St,31004,38.857866,-77.05949,YES,NO,,,NO,7,4,394836.55986472,132229.789395,
134704914,6,Pentagon City Metro / 12th & S Hayes St,31005,38.862303,-77.059936,YES,NO,,,NO,8,11,394798.17263784,132722.3537753,
134704915,7,S Joyce & Army Navy Dr,31006,38.8637,-77.0633,YES,NO,,,NO,8,7,394506.31966949,132877.62800884,
134704916,8,Crystal City Metro / 18th & Bell St,31007,38.857405,-77.051132,YES,NO,,,NO,7,12,395561.96451388,132178.17554745,
134704917,9,12th & Army Navy Dr,31008,38.8629,-77.0528,YES,NO,,,NO,5,6,395417.54218218,132788.24270087,
134704918,10,27th & Crystal Dr,31009,38.848441,-77.051516,YES,NO,,,NO,7,12,395528.07344805,131183.1266423,
134704919,11,S Glebe & Potomac Ave,31010,38.8426,-77.0502,YES,NO,,,NO,7,4,395641.95431057,130534.67130912,
134704920,12,23rd & Crystal Dr,31011,38.8533,-77.0498,YES,NO,,,NO,8,9,395677.32772972,131722.42730273,
134704921,13,26th & S Clark St,31012,38.850688,-77.05152,YES,NO,,,NO,5,6,395527.86699294,131432.55965392,
134704922,14,19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,YES,NO,,,NO,14,0,396278.70399052,136939.47827919,
134704923,15,14th & V St NW,31101,38.9176,-77.0321,YES,NO,,,NO,10,16,397216.20899969,138859.53510936,
134704924,16,11th & Kenyon St NW,31102,38.929464,-77.027822,YES,NO,,,NO,5,22,397587.60905935,140176.41805133,
134704925,17,16th & Harvard St NW,31103,38.926088,-77.036536,YES,NO,,,NO,8,24,396831.8852902,139801.91944918,
134704926,18,Adams Mill & Columbia Rd NW,31104,38.922925,-77.042581,YES,NO,,,NO,4,10,396307.54666751,139451.02670294,
134704927,19,14th & Harvard St NW,31105,38.9268,-77.0322,YES,NO,,,NO,11,8,397207.89698712,139880.81598519,
134704928,20,Calvert & Biltmore St NW,31106,38.923203,-77.047637,YES,NO,,,NO,1,22,395869.12679181,139482.10370448,
134704929,21,Lamont & Mt Pleasant NW,31107,38.9319,-77.0388,YES,NO,,,NO,5,14,396635.84323825,140447.18241804,
134704930,22,4th & M St SW,31108,38.8767,-77.0178,YES,NO,,,NO,3,18,398455.45488951,134318.97061928,
134704931,23,15th & P St NW,31201,38.90985,-77.034438,YES,NO,,,NO,10,8,397013.12734699,137999.29479922,
134704932,24,14th & R St NW,31202,38.912682,-77.031681,YES,NO,,,NO,4,11,397252.35624534,138313.58352632,
134704933,25,14th & Rhode Island Ave NW,31203,38.9086,-77.0323,YES,NO,,,NO,3,20,397198.51101235,137860.46677503,
134704934,26,20th & E St NW,31204,38.8963,-77.045,YES,NO,,,NO,10,5,396096.32377953,136495.53410413,
134704935,27,21st & I St NW,31205,38.9008,-77.047,YES,NO,,,NO,2,32,395923.08426032,136995.15740474,
134704936,28,Georgia & New Hampshire Ave NW,31400,38.936043,-77.024649,YES,NO,,,NO,3,12,397862.93084314,140906.66509731,
134704937,29,14th St & Spring Rd NW,31401,38.9375,-77.0328,YES,NO,,,NO,1,10,397156.2969996,141068.6272297,
134704938,30,John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955,YES,NO,,,NO,8,3,400390.15805724,140746.2005855,
134704939,31,5th & K St NW,31600,38.90304,-77.019027,YES,NO,,,NO,2,16,398349.59483465,137242.93793811,
134704940,32,19th & East Capitol St SE,31601,38.8896,-76.9769,YES,NO,,,NO,9,6,402004.07538839,135751.07274551,
134704941,33,Park Rd & Holmead Pl NW,31602,38.9308,-77.0315,YES,NO,,,NO,7,12,397268.74809473,140324.82919203,
134704942,34,Good Hope & Naylor Rd SE,31700,38.8601,-76.9672,YES,NO,,,NO,5,5,402846.79011674,132476.60854073,
134704943,35,Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979,YES,NO,,,NO,6,5,394973.09374685,140710.82140544,
134704944,36,Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607,YES,NO,,,NO,5,6,403410.08514111,134463.86390983,
134704945,37,Minnesota Ave Metro/DOES,31703,38.897063,-76.947446,YES,NO,,,NO,5,10,404558.92450764,136580.58329247,
134704946,38,Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,YES,NO,,,NO,9,2,405041.71541905,137060.65262358,
134704947,39,Anacostia Metro,31801,38.862669,-76.994637,YES,NO,,,NO,8,3,400465.45079874,132761.28847182,
134704948,40,Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,YES,NO,,,NO,5,6,401038.0179126,133283.52133563,
134704949,41,19th & E Street NW,31206,38.8952,-77.0436,YES,NO,,,NO,3,8,396217.71315484,136373.36645763,
134704950,42,4th & W St NE,31500,38.919077,-77.000648,YES,NO,,,NO,3,12,399943.80500792,139023.00525965,
134704951,43,10th & U St NW,31111,38.9172,-77.0259,YES,NO,,,NO,3,12,397753.87564422,138814.96095752,
134704952,44,Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222,YES,NO,,,NO,0,11,398074.95841142,139669.64140129,
134704953,45,1st & N St  SE,31209,38.8743,-77.0057,YES,NO,,,NO,9,30,399505.38183805,134052.41738498,
134704954,46,20th St & Florida Ave NW,31110,38.9154,-77.0446,YES,NO,,,NO,8,6,396132.05899493,138615.77216932,
134704955,47,7th & T St NW,31109,38.9155,-77.0222,YES,NO,,,NO,0,2,398074.70465287,138626.16224103,
134704956,48,23rd & Eads St,31013,38.853531,-77.053509,YES,NO,,,NO,10,5,395355.3991924,131748.25211246,
134704957,49,M St & New Jersey Ave SE,31208,38.8763,-77.0037,YES,NO,,,NO,10,6,399678.94106865,134274.42351994,
134704958,51,Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444,YES,NO,,,NO,16,27,396149.11786763,138027.41994099,
134704959,52,1st & M St NE,31603,38.9057,-77.0056,YES,NO,,,NO,8,7,399514.27317303,137538.06239613,
134704960,53,21st & M St NW,31212,38.90534,-77.046774,YES,NO,,,NO,13,4,395942.94637664,137499.12394013,
134704961,54,17th & K St NW,31213,38.90276,-77.03863,YES,NO,,,NO,18,5,396649.21425572,137212.39264868,
134704962,55,3rd & H St NW,31604,38.899408,-77.015289,YES,NO,,,NO,4,11,398673.76205224,136839.69580021,
134704963,56,3rd & D St SE,31605,38.8851,-77.0023,YES,NO,,,NO,0,11,399800.44743845,135251.28674748,
134704964,57,Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,YES,NO,,,NO,5,10,401197.39591334,134718.53788821,
134704965,58,14th & D St SE,31607,38.884,-76.9861,YES,NO,,,NO,11,4,401206.0101559,135129.26756581,
134704966,59,17th & Corcoran St NW,31214,38.9121,-77.0387,YES,NO,,,NO,7,12,396643.58195891,138249.21138577,
134704967,60,Van Ness Metro / UDC,31300,38.944551,-77.063896,YES,NO,,,NO,11,3,394460.8760265,141852.77834368,
134704968,61,Florida Ave & R St NW,31503,38.9126,-77.0135,YES,NO,,,NO,6,9,398829.1646746,138304.09064665,
134704969,62,8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,YES,NO,,,NO,8,3,400407.81504123,134596.34949947,
134704970,63,Ward Circle / American University,31301,38.938736,-77.087171,YES,NO,,,NO,6,9,392442.5577893,141208.93151752,
